session_id,user_id,user_tier,platform,attachment_type,has_attachment,message_count,user_message_count,assistant_message_count,interaction_complexity,language,primary_topic,user_intent,user_goal,task_outcome,abandonment,follow_up_needed,_classification_index
1776081360056,e50834bde19af762,free,ios,none,False,4,2,2,multi_turn,Turkish,health_wellness,information_seeking,Aspirin usage safety,completed,False,False,140
1776082380029,019fc2d0d87df5c5,yearly,desktop,spreadsheet,True,8,4,4,multi_turn,Turkish,document_analysis,analysis_extraction,Analyze employee satisfaction survey,completed,False,False,141
1776108120000,425f66e29b9ede0a,yearly,web,spreadsheet,True,8,4,4,multi_turn,Turkish,document_analysis,analysis_extraction,Analyze employee satisfaction survey,completed,False,False,142
1776132480092,10693859dc0b8600,free,android,none,False,6,3,3,multi_turn,Turkish,learning_self_improvement,advice_guidance,Overcome workout inactivity,completed,False,False,143
1776137040071,aa4df990f6d2d237,free,ios,none,False,2,1,1,simple,Turkish,chitchat,information_seeking,Complain about bot speed,completed,False,False,144
1776140460123,574e569eda59a61d,yearly,android,none,False,2,1,1,simple,Spanish,factual_qa,information_seeking,Who wrote Don Quixote,completed,False,False,145
1776162360100,a0bfaf7906a96dc6,free,desktop,none,False,8,4,4,multi_turn,English,learning_self_improvement,planning_recommendations,Start learning guitar,completed,False,False,146
1776186540034,c3fb228ca7bd15e1,free,desktop,docx,True,6,3,3,multi_turn,English,career_workplace,editing_rewriting,Make meeting minutes concise,completed,False,False,147
1776205020045,63a8c66078d4d27f,weekly,web,none,False,4,2,2,multi_turn,Turkish,mental_wellbeing,advice_guidance,Cope with acute insomnia,completed,False,False,148
1776222960009,b4287946f1c33b43,free,web,none,False,6,3,3,multi_turn,Turkish,learning_self_improvement,planning_recommendations,Improve English rapidly,completed,False,False,149
1774582920122,f9936e5274a0bc3a,yearly,web,none,False,6,3,3,multi_turn,Turkish,learning_self_improvement,planning_recommendations,Learn Turkish C1 level,completed,False,False,100
1774620840082,63a8c66078d4d27f,weekly,web,none,False,2,1,1,simple,Turkish,chitchat,information_seeking,Forgot question,completed,False,False,101
1774655820135,89a89b3de31dc205,weekly,web,none,False,10,5,5,deep_work,Turkish,career_workplace,decision_support,Career switch at 40,completed,False,False,102
1774678620094,199c213d13a70fa7,free,android,none,False,2,1,1,simple,Turkish,chitchat,information_seeking,Empty input test,completed,False,False,103
1774698840062,be94c33ac6c410f5,yearly,ios,none,False,4,2,2,multi_turn,Russian,coding_tech,planning_recommendations,Laptop for programming and ML,completed,False,False,104
1774747080144,640e2b4c88a87f08,yearly,android,none,False,6,3,3,multi_turn,Turkish,coding_tech,decision_support,Evaluate Google Pixel 9,completed,False,False,105
1774845420052,20a3a693aa8d40a1,weekly,android,none,False,10,5,5,deep_work,Turkish,coding_tech,learning_explanation,Understand transformer architecture,completed,False,False,106
1774876020063,a08707176f73da3e,yearly,android,none,False,4,2,2,multi_turn,Turkish,career_workplace,planning_recommendations,Prepare presentation in 3 hours,completed,False,False,107
1774881240086,019fc2d0d87df5c5,yearly,android,none,False,4,2,2,multi_turn,English,factual_qa,information_seeking,Compare Sun size to Earth,completed,False,False,108
1774889700084,66bdc10cb5a60be8,free,ios,none,False,6,3,3,multi_turn,Turkish,finance_legal,advice_guidance,Tips for saving money,completed,False,False,109
1774911360010,4988abb1ef875509,yearly,android,none,False,6,3,3,multi_turn,English,career_workplace,planning_recommendations,Plan overwhelmed week,completed,False,False,110
1774999380083,10693859dc0b8600,free,android,none,False,10,5,5,deep_work,Turkish,coding_tech,information_seeking,Quantum computing adoption timeline,completed,False,False,111
1775105460114,c940e66a200d9157,yearly,web,none,False,6,3,3,multi_turn,Turkish,parenting_family,advice_guidance,Child making friends at school,completed,False,False,112
1775115060148,199c213d13a70fa7,free,ios,none,False,4,2,2,multi_turn,Turkish,relationships_social,advice_guidance,Not invited to friend's wedding,completed,False,False,113
1775118000019,cee90fe483a57631,yearly,android,none,False,6,3,3,multi_turn,English,career_workplace,advice_guidance,Handle toxic coworker taking credit,completed,False,False,114
1775187300037,f67ee15e2e77c1b6,yearly,ios,txt,True,6,3,3,multi_turn,Turkish,document_analysis,analysis_extraction,Find errors in log file,completed,False,False,115
1775188920054,f9936e5274a0bc3a,yearly,web,none,False,10,5,5,deep_work,Turkish,health_wellness,advice_guidance,Vegan B12 deficiency guidance,completed,False,False,116
1775194620127,f2c2c14b612e5f80,free,web,spreadsheet,True,4,2,2,multi_turn,English,document_analysis,analysis_extraction,Find top customers from sheet,completed,False,False,117
1775203620078,5c442ef0ef66311e,yearly,ios,image,True,6,3,3,multi_turn,English,image_editing,editing_rewriting,Turn dog into superhero,completed,False,False,118
1775290320076,f912ef80169603a8,free,android,none,False,8,4,4,multi_turn,Turkish,mental_wellbeing,advice_guidance,Daily mental health tracking,completed,False,False,119
1772365560137,7c59256e0c3bca98,free,web,none,False,2,1,1,simple,Turkish,factual_qa,information_seeking,Türkiye'nin başkentini öğrenmek,completed,False,False,0
1772421780149,574e569eda59a61d,yearly,web,none,False,4,2,2,multi_turn,English,factual_qa,planning_recommendations,Quick dinner idea,completed,False,False,1
1772471160058,ac6ff2fe6b8ad027,weekly,web,none,False,6,3,3,multi_turn,Turkish,travel_recommendations,planning_recommendations,Düşük bütçeli tatil önerisi,completed,False,False,2
1772481360031,84990ceb4a0499f5,free,web,none,False,6,3,3,multi_turn,English,learning_self_improvement,advice_guidance,Improve public speaking skills,completed,False,False,3
1772509320128,9ff3033c3f83fb18,weekly,ios,image,True,8,4,4,multi_turn,Turkish,image_editing,creation_generation,Doktor kıyafetli profil fotoğrafı,completed,False,False,4
1772514300008,1d478081f62180e2,free,web,spreadsheet,True,6,3,3,multi_turn,English,document_analysis,analysis_extraction,Clean messy spreadsheet export,completed,False,False,5
1772518440051,bd9bb4efc0e90aec,free,desktop,none,False,6,3,3,multi_turn,Turkish,health_wellness,information_seeking,Hamilelikte kahve tüketimi,completed,False,False,6
1772525640046,15fa4d44168ffea5,free,web,spreadsheet,True,5,3,2,multi_turn,Turkish,document_analysis,analysis_extraction,Tabloyu temizleme ve düzenleme,partially_completed,False,True,7
1772530920050,895d878ad91e2cf9,yearly,web,none,False,14,7,7,deep_work,Turkish,career_workplace,planning_recommendations,1 haftada tez tamamlama yardımı,completed,False,False,8
1772533320096,f912ef80169603a8,free,android,none,False,4,2,2,multi_turn,Turkish,finance_legal,information_seeking,Kira kontratı ihbar süresi yasallığı,completed,False,False,9
1772556420110,a508c437225613e4,weekly,desktop,none,False,6,3,3,multi_turn,English,other,information_seeking,Understand cat knocking items,completed,False,False,10
1772562600113,f912ef80169603a8,free,desktop,none,False,4,2,2,multi_turn,English,coding_tech,learning_explanation,Explain reinforcement learning simply,completed,False,False,11
1772563680048,2cd0a8a1345f8feb,free,desktop,none,False,6,3,3,multi_turn,Turkish,learning_self_improvement,advice_guidance,Daha fazla kitap okuma alışkanlığı,completed,False,False,12
1772596680097,ed03da93e95d403c,free,web,none,False,14,7,7,deep_work,Turkish,career_workplace,advice_guidance,Startup fikri için eş kurucu bulma,completed,False,False,13
1772625300027,425f66e29b9ede0a,yearly,android,none,False,2,1,1,simple,English,other,creation_generation,Write a short haiku about deadlines,completed,False,False,14
1772671080024,199c213d13a70fa7,free,web,none,False,6,3,3,multi_turn,Turkish,relationships_social,information_seeking,Aynı tip insanlara aşık olma nedeni,completed,False,False,15
1772706480139,895d878ad91e2cf9,yearly,desktop,none,False,6,3,3,multi_turn,English,coding_tech,advice_guidance,Learn to code at 38 for automation,completed,False,False,16
1772758620033,847afd53691789ee,yearly,desktop,pdf,True,6,3,3,multi_turn,English,document_analysis,analysis_extraction,Summarize board deck PDF,completed,False,False,17
